indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Ciudad Autónoma De Buenos Aires-Gualeguaychu,818,40776,23669
2019,Ciudad Autónoma De Buenos Aires-Hernandarias,94,5203,3460
2019,Ciudad Autónoma De Buenos Aires-Huanguelen,347,20016,12579
2019,Ciudad Autónoma De Buenos Aires-Hurlingham,66,3556,2800
2019,Ciudad Autónoma De Buenos Aires-Ingeniero Luiggi,308,16162,16586
2019,Ciudad Autónoma De Buenos Aires-Ituzaingo,304,17494,14353
2019,Ciudad Autónoma De Buenos Aires-Jacinto Arauz,303,16356,11196
2019,Ciudad Autónoma De Buenos Aires-Jovita,325,13975,8752
2019,Ciudad Autónoma De Buenos Aires-Juan Bautista Alberdi,562,32414,21980
2019,Ciudad Autónoma De Buenos Aires-Juan Jose Castelli,705,40762,37910
2019,Ciudad Autónoma De Buenos Aires-Junin,852,36578,18671
2019,Ciudad Autónoma De Buenos Aires-La Falda,894,49242,47256
2019,Ciudad Autónoma De Buenos Aires-La Plata,65,2236,1887
2019,Ciudad Autónoma De Buenos Aires-La Quiaca,565,32428,32754
2019,Ciudad Autónoma De Buenos Aires-La Rioja,857,39278,38555
2019,Ciudad Autónoma De Buenos Aires-Laborde,122,7088,3933
2019,Ciudad Autónoma De Buenos Aires-Laprida,329,19006,14777
2019,Ciudad Autónoma De Buenos Aires-Las Flores,164,3146,1628
2019,Ciudad Autónoma De Buenos Aires-Las Lomitas,87,4785,5369
2019,Ciudad Autónoma De Buenos Aires-Lincoln,290,13245,7070
2019,Ciudad Autónoma De Buenos Aires-Los Cardales,58,1763,1119
2019,Ciudad Autónoma De Buenos Aires-Los Toldos,247,9566,7186
2019,Ciudad Autónoma De Buenos Aires-Lpa,52,2366,1834
2019,Ciudad Autónoma De Buenos Aires-Macia,675,38424,35690
2019,Ciudad Autónoma De Buenos Aires-Mar De Ajó,5518,274055,203991
2019,Ciudad Autónoma De Buenos Aires-Mar Del Plata,10849,454554,300030
2019,Ciudad Autónoma De Buenos Aires-Mar Del Tuyu,151,6300,5560
2019,Ciudad Autónoma De Buenos Aires-Mburucuya,216,12646,7566
2019,Ciudad Autónoma De Buenos Aires-Mendoza,3860,190768,172131
2019,Ciudad Autónoma De Buenos Aires-Mercedes,122,6158,5056
2019,Ciudad Autónoma De Buenos Aires-Merlo,175,9993,8800
2019,Ciudad Autónoma De Buenos Aires-Mina Clavero,1163,38222,31802
2019,Ciudad Autónoma De Buenos Aires-Miramar,2871,128640,81256
2019,Ciudad Autónoma De Buenos Aires-Monte Caseros,1092,62856,46492
2019,Ciudad Autónoma De Buenos Aires-Monte Hermoso,421,18099,15092
2019,Ciudad Autónoma De Buenos Aires-Morteros,363,21060,14429
2019,Ciudad Autónoma De Buenos Aires-Necochea,3401,155822,95741
2019,Ciudad Autónoma De Buenos Aires-Neuquén,1036,46445,45396
2019,Ciudad Autónoma De Buenos Aires-Nogoya,331,18842,9845
2019,Ciudad Autónoma De Buenos Aires-Nueva Esperanza,189,11294,4267
2019,Ciudad Autónoma De Buenos Aires-Obera,706,30932,15798
2019,Ciudad Autónoma De Buenos Aires-Olavarria,2990,145024,94816
2019,Ciudad Autónoma De Buenos Aires-Paraná,5230,253228,175525
2019,Ciudad Autónoma De Buenos Aires-Partido De La Costa,104,3775,3314
2019,Ciudad Autónoma De Buenos Aires-Paso De Los Libres,1160,56629,45237
2019,Ciudad Autónoma De Buenos Aires-Pehuajo,466,24280,18081
2019,Ciudad Autónoma De Buenos Aires-Pergamino,759,43015,33658
2019,Ciudad Autónoma De Buenos Aires-Pilar,89,2656,2039
2019,Ciudad Autónoma De Buenos Aires-Pinamar,153,6440,5863
2019,Ciudad Autónoma De Buenos Aires-Pirane,383,22273,23621
2019,Ciudad Autónoma De Buenos Aires-Posadas,653,25614,19764
2019,Ciudad Autónoma De Buenos Aires-Puan,327,14034,6829
2019,Ciudad Autónoma De Buenos Aires-Puerto Iguazú,3310,165453,151585
2019,Ciudad Autónoma De Buenos Aires-Puerto Pilcomayo,473,14141,11375
2019,Ciudad Autónoma De Buenos Aires-Quimili,285,14422,9959
2019,Ciudad Autónoma De Buenos Aires-Reconquista,299,7868,5887
2019,Ciudad Autónoma De Buenos Aires-Resistencia,1075,48419,48769
2019,Ciudad Autónoma De Buenos Aires-Rio Ceballos,70,1888,1057
2019,Ciudad Autónoma De Buenos Aires-Rio Cuarto,1235,67030,78726
2019,Ciudad Autónoma De Buenos Aires-Rojas,636,34246,13438
2019,Ciudad Autónoma De Buenos Aires-Roque Saenz Peña,820,47642,37863
2019,Ciudad Autónoma De Buenos Aires-Rosario,11219,474331,285300
2019,Ciudad Autónoma De Buenos Aires-Rosario Del Tala,356,20400,17212
2019,Ciudad Autónoma De Buenos Aires-Saladillo,366,7284,4790
2019,Ciudad Autónoma De Buenos Aires-Salliquelo,340,16486,9589
2019,Ciudad Autónoma De Buenos Aires-Salta,714,40583,35735
2019,Ciudad Autónoma De Buenos Aires-Salvador Mazza,781,46925,47272
2019,Ciudad Autónoma De Buenos Aires-San Antonio De Areco,131,3941,2573
2019,Ciudad Autónoma De Buenos Aires-San Bernardo,242,12454,10966
2019,Ciudad Autónoma De Buenos Aires-San Carlos De Bariloche,2036,103445,122522
2019,Ciudad Autónoma De Buenos Aires-San Clemente,70,2689,2368
2019,Ciudad Autónoma De Buenos Aires-San Fernando Del Valle De Catamarca,1425,62571,56747
2019,Ciudad Autónoma De Buenos Aires-San Francisco,699,29970,19520
2019,Ciudad Autónoma De Buenos Aires-San Juan,1102,51816,42205
2019,Ciudad Autónoma De Buenos Aires-San Luis,510,18698,12748
2019,Ciudad Autónoma De Buenos Aires-San Martin De Los Andes,1267,59979,74262
2019,Ciudad Autónoma De Buenos Aires-San Miguel,51,1819,1490
2019,Ciudad Autónoma De Buenos Aires-San Miguel De Tucumán,1427,63242,55390
2019,Ciudad Autónoma De Buenos Aires-San Miguel Del Monte,363,6967,3623
2019,Ciudad Autónoma De Buenos Aires-San Nicolas,729,41362,28926
2019,Ciudad Autónoma De Buenos Aires-San Pedro,475,19699,19179
2019,Ciudad Autónoma De Buenos Aires-San Rafael,898,43853,29967
2019,Ciudad Autónoma De Buenos Aires-San Salvador De Jujuy,1932,102294,100498
2019,Ciudad Autónoma De Buenos Aires-Santa Elena,137,7864,5105
2019,Ciudad Autónoma De Buenos Aires-Santa Fe,55,2419,1640
2019,Ciudad Autónoma De Buenos Aires-Santa Rosa,2213,97705,90076
2019,Ciudad Autónoma De Buenos Aires-Santa Teresita,99,4453,3938
2019,Ciudad Autónoma De Buenos Aires-Sauce,261,15118,8938
2019,Ciudad Autónoma De Buenos Aires-Schaqui,358,21136,22173
2019,Ciudad Autónoma De Buenos Aires-Sunchales,367,15405,12235
2019,Ciudad Autónoma De Buenos Aires-Taboada,51,2940,2318
2019,Ciudad Autónoma De Buenos Aires-Tandil,2472,116084,80732
2019,Ciudad Autónoma De Buenos Aires-Termas De Rio Hondo,298,18084,11095
2019,Ciudad Autónoma De Buenos Aires-Trenque Lauquen,515,22130,10851
2019,Ciudad Autónoma De Buenos Aires-Venado Tuerto,1694,94005,74754
2019,Ciudad Autónoma De Buenos Aires-Viedma,1027,33676,23515
2019,Ciudad Autónoma De Buenos Aires-Vila Gobernador Galvez,250,13007,7864
2019,Ciudad Autónoma De Buenos Aires-Villa Carlos Paz,1335,60373,46431
2019,Ciudad Autónoma De Buenos Aires-Villa Constitucion,687,38820,30602
2019,Ciudad Autónoma De Buenos Aires-Villa Cura Brochero,1677,89236,90003
2019,Ciudad Autónoma De Buenos Aires-Villa Dolores,266,14863,14442
2019,Ciudad Autónoma De Buenos Aires-Villa General Belgrano,946,35491,29012
2019,Ciudad Autónoma De Buenos Aires-Villa Gesell,4020,183628,148928
2019,Ciudad Autónoma De Buenos Aires-Villa Huidobro,649,33589,25717
2019,Ciudad Autónoma De Buenos Aires-Villa Trinidad,111,6442,1499
2019,Ciudad Autónoma De Buenos Aires-Villaguay,1108,63847,49062
2019,Ciudad-Ciudad Autónoma De Buenos Aires,81,4177,3555
2019,Ciudadela-Capilla Del Monte,245,14620,11293
2019,Ciudadela-Juan Bautista Alberdi,351,20448,13470
2019,Ciudadela-Mar Del Plata,591,30350,16984
2019,Ciudadela-Miramar,748,30707,19062
2019,Ciudadela-Roque Saenz Peña,362,20897,22001
2019,Ciudadela-Rosario,203,11663,8415
2019,Claromeco-Ciudad Autónoma De Buenos Aires,169,7267,5823
2019,Clorinda-Dominique,55,2864,2792
2019,Clorinda-Florencio Varela,769,45567,21923
2019,Clorinda-Ingeniero Budge,1083,63551,81488
2019,Clorinda-Mar Del Plata,243,14174,21912
2019,Clorinda-Posadas,514,30188,6473
2019,Clorinda-Resistencia,163,9454,4422
2019,Clorinda-Rio Gallegos,333,19314,24001
2019,Clorinda-Salta,352,20496,19708
2019,Clorinda-San Justo,254,13408,10913
2019,Colon-Ciudad Autónoma De Buenos Aires,1442,79293,67831
2019,Colon-Córdoba,56,2880,2560
2019,Colon-Ingeniero Budge,270,15680,13941
2019,Colon-Rosario,1061,61071,43179
2019,Colon-San Justo,58,3366,3270
2019,Colonia 25 De Mayo-Neuquén,633,25825,15229
2019,Comodoro Rivadavia-Caleta Olivia,2853,140653,44010
2019,Comodoro Rivadavia-Ciudad Autónoma De Buenos Aires,1708,87602,98039
