fecha,localidad_origen,provincia_origen,pais_origen,localidad_destino,provincia_destino,pais_destino,par_origen_destino,ruta_clasificacion,descripcion,asientos,pasajeros
2024-01-12,San Rafael,Mendoza,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san rafael - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,30
2024-01-11,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Mar De Ajó,Buenos Aires,Argentina,ciudad autonoma de buenos aires - mar de ajo,Porteñas,Común / Común con aire / Semicama,60,29
2024-01-12,Paraná,Entre Ríos,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,parana - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,60,27
2024-01-12,Federacion,Entre Ríos,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,federacion - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,43,13
2024-01-12,Puerto Iguazú,Misiones,Argentina,San Justo,Buenos Aires,Argentina,puerto iguazu - san justo,Intrafederales,Común / Común con aire / Semicama,60,62
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Coronel Suarez,Buenos Aires,Argentina,ciudad autonoma de buenos aires - coronel suarez,Porteñas,Ejecutivo / Suite,40,23
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Bahia Blanca,Buenos Aires,Argentina,ciudad autonoma de buenos aires - bahia blanca,Porteñas,Ejecutivo / Suite,32,25
2024-01-12,Bahia Blanca,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,bahia blanca - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,26
2024-01-12,Coronel Suarez,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,coronel suarez - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,40,14
2024-01-12,Clorinda,Formosa,Argentina,Mar Del Plata,Buenos Aires,Argentina,clorinda - mar del plata,Intrafederales,Común / Común con aire / Semicama,58,52
2024-01-17,Rosario,Santa Fe,Argentina,La Plata,Buenos Aires,Argentina,rosario - la plata,Intrafederales,Común / Común con aire / Semicama,56,41
2024-01-12,Alta Gracia,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,alta gracia - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,31
2024-01-12,Ituzaingo,Corrientes,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,ituzaingo - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,59
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Necochea,Buenos Aires,Argentina,ciudad autonoma de buenos aires - necochea,Porteñas,Común / Común con aire / Semicama,60,54
2024-01-19,Rosario,Santa Fe,Argentina,La Plata,Buenos Aires,Argentina,rosario - la plata,Intrafederales,Común / Común con aire / Semicama,56,12
2024-01-13,Paraná,Entre Ríos,Argentina,Mar Del Plata,Buenos Aires,Argentina,parana - mar del plata,Intrafederales,Ejecutivo / Suite,56,49
2024-01-13,Rosario,Santa Fe,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,rosario - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,14
2024-01-11,Villa Gesell,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa gesell - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,43,31
2024-01-12,Mendoza,Mendoza,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mendoza - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,27
2024-01-11,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Mar Del Plata,Buenos Aires,Argentina,ciudad autonoma de buenos aires - mar del plata,Porteñas,Ejecutivo / Suite,43,43
2024-01-11,Mar Del Plata,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mar del plata - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,43,38
2024-01-11,Mar Del Plata,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mar del plata - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,62,44
2024-01-12,Villa Carlos Paz,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa carlos paz - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,43,31
2024-01-13,Villa Carlos Paz,Córdoba,Argentina,Mar Del Plata,Buenos Aires,Argentina,villa carlos paz - mar del plata,Intrafederales,Común / Común con aire / Semicama,43,48
2024-01-12,Necochea,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,necochea - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,43,32
2024-01-13,Paraná,Entre Ríos,Argentina,Mar Del Plata,Buenos Aires,Argentina,parana - mar del plata,Intrafederales,Ejecutivo / Suite,58,49
2024-01-11,Paraná,Entre Ríos,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,parana - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,60,24
2024-01-12,Mendoza,Mendoza,Argentina,Monte Hermoso,Buenos Aires,Argentina,mendoza - monte hermoso,Intrafederales,Común / Común con aire / Semicama,54,26
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Bahia Blanca,Buenos Aires,Argentina,ciudad autonoma de buenos aires - bahia blanca,Porteñas,Ejecutivo / Suite,32,21
2024-01-12,Bahia Blanca,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,bahia blanca - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,21
2024-01-11,Viedma,Río Negro,Argentina,Bahia Blanca,Buenos Aires,Argentina,viedma - bahia blanca,Intrafederales,Común / Común con aire / Semicama,43,23
2024-01-12,Villa Carlos Paz,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa carlos paz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,43,33
2024-01-15,Bella Vista,Corrientes,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,bella vista - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,23
2024-01-17,Bella Vista,Corrientes,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,bella vista - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,32,19
2024-01-12,Mendoza,Mendoza,Argentina,Monte Hermoso,Buenos Aires,Argentina,mendoza - monte hermoso,Intrafederales,Común / Común con aire / Semicama,58,80
2024-01-12,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,Mar De Ajó,Buenos Aires,Argentina,ciudad autonoma de buenos aires - mar de ajo,Porteñas,Ejecutivo / Suite,43,22
2024-01-14,Villa General Belgrano,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa general belgrano - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,37,29
2024-01-11,Mar Del Plata,Buenos Aires,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mar del plata - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,43,8
2024-01-12,Clorinda,Formosa,Argentina,Florencio Varela,Buenos Aires,Argentina,clorinda - florencio varela,Intrafederales,Común / Común con aire / Semicama,58,43
2024-01-12,Ciudadela,Buenos Aires,Argentina,Mar Del Plata,Buenos Aires,Argentina,ciudadela - mar del plata,Intrafederales,Común / Común con aire / Semicama,43,30
2024-01-22,Eduardo Castex,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,eduardo castex - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,42,41
2024-01-24,Eduardo Castex,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,eduardo castex - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,42,17
2024-01-12,Puerto Iguazú,Misiones,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,puerto iguazu - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,60,46
2024-01-19,Eduardo Castex,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,eduardo castex - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,42,20
2024-01-20,Eduardo Castex,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,eduardo castex - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,42,16
2024-01-14,Mina Clavero,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mina clavero - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,33
2024-01-16,Mina Clavero,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,mina clavero - ciudad autonoma de buenos aires,Porteñas,Ejecutivo / Suite,42,30
