fecha,localidad_origen,provincia_origen,pais_origen,localidad_destino,provincia_destino,pais_destino,par_origen_destino,ruta_clasificacion,descripcion,asientos,pasajeros
2021-01-02,Chilecito,La Rioja,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,chilecito - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,60,24
2021-01-02,Jacinto Arauz,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,jacinto arauz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,14
2021-01-03,Jacinto Arauz,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,jacinto arauz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,11
2021-01-05,Jacinto Arauz,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,jacinto arauz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,14
2021-01-04,Jacinto Arauz,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,jacinto arauz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,37
2021-01-06,Jacinto Arauz,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,jacinto arauz - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,58,17
2021-01-02,Rosario,Santa Fe,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,rosario - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,42,31
2021-01-04,Alta Gracia,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,alta gracia - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,47
2021-01-06,Alta Gracia,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,alta gracia - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,35
2021-01-03,La Falda,Cordoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,la falda - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,32
2021-01-05,La Falda,Cordoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,la falda - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,23
2021-01-07,La Falda,Cordoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,la falda - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,30
2021-01-02,Santa Rosa,La Pampa,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,santa rosa - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,60,54
2021-01-03,Villa Cura Brochero,Córdoba,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,villa cura brochero - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,80
2021-01-03,San Fernando Del Valle De Catamarca,Catamarca,Argentina,Ciudad Autónoma De Buenos Aires,Ciudad Autónoma De Buenos Aires,Argentina,san fernando del valle de catamarca - ciudad autonoma de buenos aires,Porteñas,Común / Común con aire / Semicama,56,26
