id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,34.009603,9.000000,5.000000,0.000000,3291.000000,0.995162
2,33.638531,7.000000,5.000000,0.000000,3274.500000,0.993025
3,33.169506,9.000000,5.000000,0.000000,3229.500000,0.991709
4,34.276124,21.000000,6.000000,0.000000,3251.500000,0.993735
5,34.016476,12.000000,4.000000,0.000000,3278.500000,0.992883
6,34.111983,14.000000,4.000000,0.000000,3272.000000,0.993623
7,33.483324,9.000000,3.000000,0.000000,3262.000000,0.992847
8,34.844746,8.000000,5.000000,0.000000,3274.000000,0.992572
9,34.523777,9.000000,3.000000,0.000000,3291.500000,0.995614
10,33.654716,14.000000,6.000000,0.000000,3275.000000,0.995289
11,34.362758,9.000000,6.000000,0.000000,3293.000000,0.995466
12,33.578448,22.000000,8.000000,0.000000,3279.500000,0.995447
13,33.517659,7.000000,3.000000,0.000000,3295.000000,0.993517
14,34.600956,9.000000,6.000000,0.000000,3299.000000,0.992031
15,33.470631,7.000000,4.000000,0.000000,3280.500000,0.991837
16,33.655652,9.000000,4.000000,0.000000,3285.500000,0.993048
17,35.027198,10.000000,4.000000,0.000000,3278.500000,0.993184
18,34.076614,9.000000,5.000000,0.000000,3328.000000,0.994026
19,32.724196,6.000000,5.000000,0.000000,3198.500000,0.994249
20,33.749156,10.000000,5.000000,0.000000,3244.000000,0.994177
21,34.007475,8.000000,8.000000,0.000000,3252.000000,0.992371
22,33.334438,8.000000,5.000000,0.000000,3301.500000,0.993231
23,33.871356,9.000000,6.000000,0.000000,3280.000000,0.992436
24,33.675376,8.000000,5.000000,0.000000,3271.000000,0.993319
25,33.280762,9.000000,7.000000,0.000000,3266.500000,0.994520
26,33.861821,10.000000,5.000000,0.000000,3245.000000,0.992506
27,33.007505,9.000000,3.000000,0.000000,3255.000000,0.996785
28,32.500851,5.000000,3.000000,0.000000,3231.000000,0.992932
29,33.747510,7.000000,5.000000,0.000000,3343.500000,0.994645
30,32.369878,9.000000,4.000000,0.000000,3232.500000,0.995381
