id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,35.654384,21.000000,11.000000,0.000000,3227.000000,0.994300
2,34.295224,8.000000,4.000000,0.000000,3294.000000,0.994415
3,34.643880,14.000000,8.000000,0.000000,3237.000000,0.992945
4,32.919710,19.000000,3.000000,0.000000,3261.000000,0.994511
5,35.505470,32.000000,8.000000,0.000000,3269.000000,0.991507
6,36.093013,26.000000,5.000000,0.000000,3303.000000,0.992637
7,34.030851,25.000000,3.000000,0.000000,3282.000000,0.994998
8,34.711625,25.000000,4.000000,0.000000,3224.000000,0.992917
9,33.723921,25.000000,3.000000,0.000000,3225.500000,0.993226
10,35.345508,7.000000,6.000000,0.000000,3304.000000,0.993684
11,34.622835,16.000000,6.000000,0.000000,3268.500000,0.992711
12,34.162234,15.000000,3.000000,0.000000,3278.500000,0.993786
13,35.839060,28.000000,8.000000,0.000000,3314.000000,0.994598
14,36.153659,16.000000,7.000000,0.000000,3326.000000,0.994469
15,33.937269,39.000000,4.000000,0.000000,3267.000000,0.993613
16,34.544863,16.000000,5.000000,0.000000,3249.000000,0.991456
17,34.228611,15.000000,4.000000,0.000000,3299.000000,0.993974
18,34.064535,20.000000,6.000000,0.000000,3217.500000,0.994437
19,34.970515,20.000000,4.000000,0.000000,3257.500000,0.993898
20,34.530595,9.000000,6.000000,0.000000,3238.500000,0.994473
21,34.963502,17.000000,8.000000,0.000000,3279.500000,0.994541
22,34.848856,24.000000,4.000000,0.000000,3260.500000,0.991938
23,35.674887,13.000000,5.000000,0.000000,3298.500000,0.991434
24,34.455383,14.000000,5.000000,0.000000,3256.500000,0.992230
25,34.996424,30.000000,6.000000,0.000000,3235.500000,0.993857
26,34.353059,9.000000,2.000000,0.000000,3221.000000,0.993523
27,34.693070,36.000000,4.000000,0.000000,3199.000000,0.993633
28,34.357790,17.000000,9.000000,0.000000,3211.000000,0.994118
29,34.277411,14.000000,7.000000,0.000000,3292.000000,0.993361
30,35.351643,13.000000,15.000000,0.000000,3247.500000,0.993727
