id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
74,60.000000,90.000000,112.726049,1185.000000,16.000000,73.000000,2002.000000,0.980411
75,90.000000,90.000000,102.858649,1129.000000,105.000000,24.000000,2305.000000,0.980642
76,90.000000,60.000000,111.948043,1077.000000,931.000000,15.000000,2399.000000,0.987649
77,60.000000,30.000000,100.675543,199.000000,1717.000000,5.000000,2371.000000,0.980968
78,60.000000,60.000000,97.523019,1503.000000,95.000000,25.000000,2315.000000,0.985526
79,90.000000,30.000000,101.315099,87.000000,2022.000000,5.000000,2425.000000,0.986574
80,30.000000,30.000000,88.714249,886.000000,17.000000,8.000000,2327.500000,0.983105
81,60.000000,90.000000,129.869404,1856.000000,20.000000,156.000000,2021.000000,0.982021
82,90.000000,90.000000,105.466387,1420.000000,51.000000,25.000000,2269.000000,0.980977
83,90.000000,60.000000,97.904414,393.000000,791.000000,14.000000,2443.500000,0.983498
84,60.000000,30.000000,100.122249,122.000000,1606.000000,5.000000,2415.500000,0.983910
85,60.000000,60.000000,99.966217,1028.000000,43.000000,18.000000,2339.000000,0.985049
86,90.000000,30.000000,99.742015,136.000000,2076.000000,5.000000,2391.000000,0.983748
87,30.000000,30.000000,103.879404,1128.000000,37.000000,8.000000,2335.500000,0.985859
88,90.000000,60.000000,95.952219,170.000000,643.000000,13.000000,2421.000000,0.982150
89,60.000000,30.000000,100.390308,211.000000,1478.000000,5.000000,2383.500000,0.982887
90,90.000000,30.000000,103.361874,371.000000,1936.000000,4.000000,2388.500000,0.984137
