id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
82,90.000000,45.000000,105.891498,491.000000,1432.000000,10.000000,2405.000000,0.982033
83,90.000000,30.000000,101.208271,225.000000,2163.000000,4.000000,2394.500000,0.980549
84,75.000000,30.000000,101.983120,247.000000,2030.000000,5.000000,2457.000000,0.982211
85,45.000000,90.000000,127.437635,1554.000000,10.000000,778.000000,1795.500000,0.974491
86,90.000000,60.000000,108.563362,731.000000,1102.000000,14.000000,2367.000000,0.982973
87,90.000000,75.000000,105.309000,1426.000000,272.000000,19.000000,2357.000000,0.984750
88,60.000000,75.000000,97.730081,1302.000000,18.000000,29.000000,2145.000000,0.979228
89,75.000000,75.000000,96.360070,1069.000000,54.000000,23.000000,2357.000000,0.982288
90,60.000000,90.000000,118.563048,1501.000000,20.000000,118.000000,2042.500000,0.977039
91,75.000000,90.000000,113.477104,1405.000000,51.000000,29.000000,2163.000000,0.983182
92,90.000000,90.000000,111.191045,1533.000000,43.000000,28.000000,2325.500000,0.983298
93,30.000000,90.000000,151.758890,1846.000000,6.000000,1188.000000,1451.500000,0.966057
94,45.000000,75.000000,116.407656,1691.000000,22.000000,444.000000,1932.000000,0.979219
95,45.000000,90.000000,129.017529,1622.000000,31.000000,718.000000,1769.000000,0.974387
96,90.000000,75.000000,95.548942,831.000000,179.000000,20.000000,2365.500000,0.980518
97,60.000000,75.000000,104.508312,1475.000000,17.000000,26.000000,2124.000000,0.977901
98,60.000000,90.000000,119.804627,1302.000000,17.000000,83.000000,1998.500000,0.980378
99,75.000000,75.000000,97.209609,1266.000000,32.000000,22.000000,2296.000000,0.983930
100,30.000000,90.000000,152.069913,1914.000000,5.000000,1193.000000,1476.000000,0.971053
101,75.000000,90.000000,105.587481,1360.000000,26.000000,29.000000,2140.000000,0.983682
102,45.000000,75.000000,120.219872,1758.000000,17.000000,518.000000,1933.000000,0.974786
103,90.000000,90.000000,106.724170,1167.000000,106.000000,27.000000,2329.000000,0.983323
104,45.000000,90.000000,130.214492,1593.000000,16.000000,729.000000,1739.000000,0.975322
105,30.000000,90.000000,157.666419,1866.000000,12.000000,1275.000000,1497.000000,0.973026
106,90.000000,75.000000,101.579384,851.000000,116.000000,22.000000,2376.000000,0.983647
107,60.000000,90.000000,116.851813,1362.000000,20.000000,114.000000,1999.000000,0.979662
108,75.000000,75.000000,98.163131,1325.000000,33.000000,22.000000,2290.000000,0.983255
109,60.000000,75.000000,112.319166,1752.000000,31.000000,26.000000,2146.500000,0.979466
110,75.000000,90.000000,103.960709,1249.000000,23.000000,28.000000,2159.000000,0.984047
111,45.000000,75.000000,127.640548,2001.000000,24.000000,515.000000,1887.000000,0.975194
112,30.000000,90.000000,154.716803,1928.000000,8.000000,1259.000000,1470.000000,0.967105
113,45.000000,90.000000,134.413990,1930.000000,10.000000,752.000000,1794.000000,0.974735
114,90.000000,90.000000,95.163855,956.000000,104.000000,27.000000,2247.500000,0.983589
115,90.000000,75.000000,102.586526,868.000000,395.000000,19.000000,2386.000000,0.982499
116,60.000000,90.000000,122.204790,1814.000000,22.000000,140.000000,2024.000000,0.978487
117,75.000000,75.000000,102.354572,1287.000000,58.000000,23.000000,2369.000000,0.984826
118,60.000000,75.000000,112.593353,1809.000000,27.000000,27.000000,2153.500000,0.978641
119,75.000000,90.000000,106.027446,1311.000000,35.000000,28.000000,2211.500000,0.984859
120,45.000000,90.000000,129.039414,1921.000000,26.000000,677.000000,1778.500000,0.975590
121,90.000000,90.000000,106.537192,1142.000000,47.000000,27.000000,2317.500000,0.984494
122,60.000000,90.000000,112.904771,1403.000000,26.000000,138.000000,2040.000000,0.980769
123,90.000000,75.000000,107.213169,1251.000000,412.000000,22.000000,2339.000000,0.982980
124,75.000000,90.000000,107.492370,1095.000000,28.000000,30.000000,2198.500000,0.982789
125,90.000000,90.000000,102.836804,1189.000000,99.000000,35.000000,2296.500000,0.982250
