duracion11,duracion56,dpi_mean,dpi_std,max_cola_global_mean,max_cola_global_max,cola_promedio_mean,max_cola_norte_mean,max_cola_sureste1_mean,max_cola_sureste2_mean,throughput_mean,pvc_mean,n,score_dpi,score_cola,score_cola_prom,score_throughput,score_pvc,score_final
45.0,30.0,29.7074972,0.36309593838502335,4.8,6.0,3.5333333333333328,4.4,4.2,2.0,580.4,0.9970817999999999,5,0.011019400152819329,0.0,0.01809954751131218,0.7456140350877207,0.0,0.08022814831339006
30.0,30.0,30.429854,0.34350762775956073,4.8,6.0,3.2666666666666666,4.8,2.2,2.8,588.8,0.9945968000000001,5,0.03429137986601678,0.0,0.0,0.5000000000000017,0.21700782450746414,0.08370276540385246
60.0,30.0,29.365457600000003,0.5961713293628774,6.4,9.0,4.133333333333333,5.6,4.8,2.0,585.8,0.9938689999999999,5,0.0,0.040816326530612256,0.05882352941176468,0.5877192982456159,0.28056448232500075,0.10699644528395241
75.0,30.0,30.341070000000002,0.9797012727380227,5.4,6.0,3.9333333333333327,4.4,5.4,2.0,585.2,0.994054,5,0.03143104900617515,0.015306122448979604,0.0452488687782805,0.6052631578947361,0.26440897023892207,0.10785010970049803
45.0,45.0,34.000297,0.6205336321574373,6.6,7.0,4.866666666666667,6.6,3.4,4.6,595.7,0.995331,5,0.14931940626948936,0.04591836734693877,0.10859728506787333,0.2982456140350863,0.15289227329886468,0.12430673800593228
90.0,45.0,33.9480352,0.70904379778241,7.2,9.0,5.466666666666667,6.6,6.4,3.4,597.0,0.9944953999999999,5,0.14763570155545433,0.06122448979591837,0.1493212669683258,0.2602339181286548,0.2258627916724898,0.13664286464992748
75.0,45.0,33.7072818,0.42481882836768925,6.2,8.0,5.133333333333334,6.2,5.0,4.2,588.6,0.9922907999999999,5,0.13987941236334955,0.03571428571428572,0.12669683257918554,0.505847953216374,0.418384099483027,0.166550682855031
30.0,45.0,36.2413796,0.8871929255772371,8.4,11.0,5.0,8.4,2.4,4.2,605.9,0.9905748000000001,5,0.2215197770596581,0.09183673469387756,0.11764705882352941,0.0,0.5682373899678536,0.17826322399287578
90.0,30.0,32.184354,0.4444455168533065,6.8,8.0,4.2,3.8,6.8,2.0,573.2,0.9937054,5,0.09081564655362177,0.0510204081632653,0.06334841628959277,0.9561403508771928,0.2948511946346217,0.18107661533105124
60.0,45.0,34.071515999999995,0.9307373868436242,7.0,8.0,5.266666666666667,7.0,5.2,3.6,576.4,0.9945028,5,0.15161385012769632,0.05612244897959184,0.13574660633484162,0.8625730994152064,0.22521657118903815,0.1950613323814595
45.0,60.0,40.2262848,0.7186715616515686,9.6,10.0,5.933333333333333,9.6,2.8,5.4,595.7,0.9958221999999999,5,0.3499004235399225,0.12244897959183672,0.1809954751131221,0.2982456140350863,0.10999720553304804,0.22424612056424137
60.0,60.0,38.6894264,1.0555097151276243,9.6,11.0,6.466666666666667,9.6,4.8,5.0,592.2,0.9914630000000001,5,0.30038785924087097,0.12244897959183672,0.2171945701357466,0.40058479532163627,0.4906734665362469,0.25883817679081067
90.0,60.0,37.7675262,1.0880069870102878,10.0,15.0,7.133333333333335,8.4,8.0,5.0,578.0,0.9934645999999999,5,0.27068724210541556,0.1326530612244898,0.2624434389140272,0.8157894736842115,0.3158795584742231,0.280580353272713
75.0,60.0,38.1245694,0.6427121254249853,9.2,11.0,6.8,9.2,5.4,5.8,577.8,0.990956,5,0.28219000930735105,0.11224489795918365,0.23981900452488686,0.821637426900587,0.5349483023613264,0.29769269092196715
30.0,60.0,41.624811199999996,0.6990940766926156,11.2,12.0,6.466666666666667,11.2,2.8,5.4,588.0,0.9934232,5,0.3949563820484752,0.16326530612244897,0.2171945701357466,0.5233918128654975,0.3194949000978058,0.30138571916972845
90.0,75.0,42.579224599999996,0.8402704668029811,11.2,14.0,8.466666666666667,11.2,7.4,6.8,586.7,0.9939081999999999,5,0.4257044684274002,0.16326530612244897,0.3529411764705882,0.5614035087719289,0.2771412603045996,0.32528801564715887
75.0,75.0,43.4547562,1.056979888940278,12.4,21.0,8.066666666666666,12.4,5.4,6.4,583.8,0.9938815999999999,5,0.4539112405287542,0.19387755102040816,0.32579185520361986,0.6461988304093587,0.27946416096129834,0.3518715616996345
60.0,75.0,43.916596,1.09746127549791,11.0,13.0,7.466666666666667,11.0,4.6,6.8,590.7,0.98823,5,0.46879021232821283,0.15816326530612243,0.2850678733031674,0.4444444444444433,0.773001956126864,0.36968514455946483
75.0,90.0,47.6058114,1.2522509559029265,12.8,14.0,9.0,12.8,5.6,8.6,599.3,0.9917163999999999,5,0.5876446980150862,0.2040816326530612,0.3891402714932127,0.19298245614035192,0.4685447813329624,0.38217096663050426
90.0,90.0,46.9679604,1.4455986783635,11.8,14.0,8.533333333333335,11.2,6.8,7.6,580.5,0.9928134,5,0.5670952195135442,0.17857142857142858,0.3574660633484164,0.742690058479533,0.3727469610171854,0.4082736351142539
45.0,75.0,45.690536800000004,1.1165938337621715,10.6,12.0,6.933333333333333,10.6,3.2,7.0,578.6,0.9887266,5,0.5259407981744503,0.14795918367346939,0.24886877828054293,0.798245614035088,0.729635322062315,0.4135399650845665
