id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,90.000000,30.000000,31.398763,5.000000,6.000000,2.000000,542.500000,0.990868
2,30.000000,30.000000,29.962881,4.000000,2.000000,3.000000,568.500000,0.996494
3,75.000000,45.000000,33.252872,6.000000,5.000000,4.000000,564.500000,0.992964
4,75.000000,30.000000,29.800784,3.000000,6.000000,2.000000,585.000000,0.994898
5,90.000000,45.000000,33.548880,6.000000,8.000000,3.000000,585.000000,0.994898
6,60.000000,45.000000,32.942172,8.000000,8.000000,4.000000,587.000000,0.994073
7,30.000000,60.000000,41.600892,9.000000,3.000000,5.000000,577.500000,0.995690
8,45.000000,60.000000,39.138096,9.000000,3.000000,4.000000,593.000000,0.998316
9,60.000000,30.000000,29.389686,7.000000,4.000000,2.000000,603.000000,0.993410
10,45.000000,30.000000,29.476648,3.000000,4.000000,2.000000,577.500000,0.998271
11,45.000000,45.000000,34.088487,6.000000,4.000000,4.000000,596.000000,0.995823
12,30.000000,45.000000,36.540090,9.000000,2.000000,4.000000,605.000000,0.988562
13,30.000000,30.000000,30.280535,4.000000,2.000000,2.000000,577.500000,0.995690
14,75.000000,30.000000,29.362652,5.000000,5.000000,2.000000,583.500000,0.994885
15,60.000000,45.000000,33.508128,5.000000,4.000000,4.000000,555.000000,0.991957
16,90.000000,30.000000,32.498443,4.000000,7.000000,2.000000,586.000000,0.994063
17,30.000000,60.000000,40.575336,12.000000,3.000000,7.000000,578.500000,0.993133
18,90.000000,45.000000,33.568851,5.000000,6.000000,3.000000,627.500000,0.996032
19,75.000000,45.000000,33.248651,6.000000,5.000000,3.000000,604.500000,0.986939
20,45.000000,60.000000,39.952585,9.000000,2.000000,5.000000,602.500000,0.997517
21,30.000000,30.000000,30.739561,5.000000,2.000000,3.000000,597.000000,0.995000
22,75.000000,30.000000,30.400377,5.000000,5.000000,3.000000,579.000000,0.993139
23,60.000000,30.000000,29.891804,4.000000,6.000000,2.000000,590.500000,0.995784
24,45.000000,30.000000,29.472289,4.000000,4.000000,2.000000,583.500000,0.994885
25,60.000000,45.000000,33.919517,6.000000,4.000000,3.000000,561.500000,0.995567
26,90.000000,45.000000,33.270618,9.000000,5.000000,3.000000,584.500000,0.996590
